,Toss,MatchID,Toss_Decision,Margin,Winner,Date,Venue,TeamA,TeamB,HTH,WinningPerDes,Strength,Latest_Form
207,England,426421,bat,2 wickets,England,3/2/2010 0:00,Dhaka,Bangladesh,England,0,0,-5.432727273,-3.123090909
208,Zimbabwe,439140,field,2 runs,Zimbabwe,3/4/2010 0:00,Providence,West Indies,Zimbabwe,0,0,-12.02599718,21.75681818
209,Bangladesh,426422,field,45 runs,England,3/5/2010 0:00,Chittagong,Bangladesh,England,0,0,-10.41799859,-2.806035941
210,Zimbabwe,439141,field,4 wickets,West Indies,3/6/2010 0:00,Providence,West Indies,Zimbabwe,0,0,-10.11,0.34551797
211,Australia,423793,field,6 wickets,Australia,3/9/2010 0:00,Hamilton,Australia,New Zealand,0,0,-2.314545455,4.81398203
212,Australia,423795,field,51 runs,New Zealand,3/13/2010 0:00,Wellington,Australia,New Zealand,0.5,0,-1.495606061,5.031818182
213,Zimbabwe,439142,bat,141 runs,West Indies,3/10/2010 0:00,Kingstown,West Indies,Zimbabwe,0.5,0,0.889545455,1.401668076
214,West Indies,439144,field,4 wickets,West Indies,3/14/2010 0:00,Kingstown,West Indies,Zimbabwe,0.75,0.5,-6.175606061,2.751379493
215,West Indies,439143,field,4 wickets,West Indies,3/12/2010 0:00,Kingstown,West Indies,Zimbabwe,0.666666667,0,4.496666667,2.221536293
216,India,452146,bat,6 wickets,Zimbabwe,5/28/2010 0:00,Bulawayo,India,Zimbabwe,0,0,-0.307973925,9.363915433
218,India,452147,field,7 wickets,India,5/30/2010 0:00,Bulawayo,India,Sri Lanka,0.333333333,1,-2.220852713,2.465649049
219,South Africa,439148,bat,17 runs,South Africa,5/24/2010 0:00,North Sound,South Africa,West Indies,0,0,3.334330514,5.070807611
220,South Africa,439149,bat,67 runs,South Africa,5/28/2010 0:00,Roseau,South Africa,West Indies,1,0,7.386060606,4.850953488
221,Sri Lanka,452148,field,9 wickets,Sri Lanka,6/1/2010 0:00,Bulawayo,Sri Lanka,Zimbabwe,0,1,-2.089305849,6.949162791
222,West Indies,439150,field,7 wickets,South Africa,5/30/2010 0:00,Roseau,South Africa,West Indies,1,0,5.248150106,5.290799154
223,Zimbabwe,452149,bat,7 wickets,Zimbabwe,6/3/2010 0:00,Harare,India,Zimbabwe,0,0,-18.31018323,9.231137421
224,West Indies,439151,field,1 wicket,South Africa,6/3/2010 0:00,Port of Spain,South Africa,West Indies,1,0,0.146180409,5.212520085
225,Zimbabwe,452151,bat,8 wickets,Zimbabwe,6/7/2010 0:00,Harare,Sri Lanka,Zimbabwe,1,0,-9.771363636,4.925162791
226,Sri Lanka,452150,bat,6 wickets,Sri Lanka,6/5/2010 0:00,Harare,India,Sri Lanka,0.5,0,-12.11515152,3.44741649
227,Sri Lanka,452152,field,9 wickets,Sri Lanka,6/9/2010 0:00,Harare,Sri Lanka,Zimbabwe,0.5,1,1.348484848,4.278896406
228,Bangladesh,455232,bat,6 wickets,India,6/16/2010 0:00,Dambulla,Bangladesh,India,0,1,-3.057878788,-5.080761099
229,Sri Lanka,455231,field,16 runs,Sri Lanka,6/15/2010 0:00,Dambulla,Pakistan,Sri Lanka,0,0,17.96636364,-0.601526427
232,Sri Lanka,455233,field,126 runs,Sri Lanka,6/18/2010 0:00,Dambulla,Bangladesh,Sri Lanka,0,0.5,11.75969697,-3.824169133
233,Pakistan,455234,field,3 wickets,India,6/19/2010 0:00,Dambulla,India,Pakistan,0,0.333333333,-10.6880303,3.300942918
235,Australia,426387,bat,4 wickets,England,6/22/2010 0:00,Southampton,Australia,England,0,0,4.895877378,1.73467019
236,Sri Lanka,455236,bat,7 wickets,Sri Lanka,6/22/2010 0:00,Dambulla,India,Sri Lanka,0.4,0.6,7.386546864,1.478338266
237,India,455237,bat,81 runs,India,6/24/2010 0:00,Dambulla,India,Sri Lanka,0.333333333,0.5,0.78469697,2.225272727
238,Pakistan,455235,field,139 runs,Pakistan,6/21/2010 0:00,Dambulla,Bangladesh,Pakistan,0,0.5,-22.63775899,-1.531188161
239,Australia,426388,bat,4 wickets,England,6/24/2010 0:00,Cardiff,Australia,England,0,0,6.453636364,2.080194503
240,England,426390,bat,78 runs,Australia,6/30/2010 0:00,The Oval,Australia,England,0,0,13.44545455,2.266097252
241,England,426389,bat,1 wicket,England,6/27/2010 0:00,Manchester,Australia,England,0,0,11.52818182,2.269649049
247,Australia,426391,bat,42 runs,Australia,7/3/2010 0:00,Lord's,Australia,England,0.25,0,14.34318182,3.380363636
254,Bangladesh,426403,bat,6 wickets,England,7/8/2010 0:00,Nottingham,Bangladesh,England,0,0,-18.06269556,-3.68946723
258,England,426404,bat,5 runs,Bangladesh,7/10/2010 0:00,Bristol,Bangladesh,England,0,0,-11.28606061,-3.929454545
261,Bangladesh,426405,field,144 runs,England,7/12/2010 0:00,Birmingham,Bangladesh,England,0.2,0,-8.688484848,-3.974727273
265,New Zealand,456664,bat,3 wickets,Sri Lanka,8/13/2010 0:00,Dambulla,New Zealand,Sri Lanka,0,0.625,2.507241015,-2.268642706
266,New Zealand,456662,field,200 runs,New Zealand,8/10/2010 0:00,Dambulla,India,New Zealand,0,0.428571429,-12.15284708,6.157551797
268,Sri Lanka,456663,field,6 wickets,India,8/16/2010 0:00,Dambulla,India,Sri Lanka,0.428571429,0.444444444,13.36712121,5.203369979
272,India,456666,bat,8 wickets,Sri Lanka,8/22/2010 0:00,Dambulla,India,Sri Lanka,0.5,0.5,11.72318182,5.112824524
273,India,456665,bat,105 runs,India,8/25/2010 0:00,Dambulla,India,New Zealand,0,0.4,-5.306937985,7.044376321
274,Sri Lanka,456668,field,74 runs,Sri Lanka,8/28/2010 0:00,Dambulla,India,Sri Lanka,0.444444444,0.5,14.27318182,3.355915433
276,Pakistan,426428,bat,24 runs,England,9/10/2010 0:00,Chester-le-Street,England,Pakistan,0,0,11.98442565,2.981539112
277,Pakistan,426429,field,4 wickets,England,9/12/2010 0:00,Leeds,England,Pakistan,1,0,9.852758985,4.214727273
278,Pakistan,426431,field,38 runs,Pakistan,9/20/2010 0:00,Lord's,England,Pakistan,0.666666667,0,12.51121212,4.468376321
279,England,426432,bat,121 runs,England,9/22/2010 0:00,Southampton,England,Pakistan,0.5,0,12.40439394,4.448012685
283,Pakistan,426430,field,23 runs,Pakistan,9/17/2010 0:00,The Oval,England,Pakistan,1,0,4.449242424,5.124642706
285,Bangladesh,476598,field,7 wickets,Bangladesh,10/11/2010 0:00,Dhaka,Bangladesh,New Zealand,0,1,-7.834090909,0.152291755
288,Zimbabwe,463144,field,8 wickets,South Africa,10/17/2010 0:00,Potchefstroom,South Africa,Zimbabwe,1,0,15.44148344,9.501708245
289,South Africa,463143,bat,64 runs,South Africa,10/15/2010 0:00,Bloemfontein,South Africa,Zimbabwe,0,0,17.81090909,6.394701903
290,India,464529,bat,5 wickets,India,10/20/2010 0:00,Visakhapatnam,Australia,India,0,0,15.49166667,1.984993658
291,Bangladesh,476600,bat,3 runs,Bangladesh,10/17/2010 0:00,Dhaka,Bangladesh,New Zealand,0.4,0.1,-9.58769556,-0.414338266
292,New Zealand,476599,bat,9 runs,Bangladesh,10/14/2010 0:00,Dhaka,Bangladesh,New Zealand,0.25,0,-11.26254405,0.587019027
293,Pakistan,461566,bat,8 wickets,South Africa,10/29/2010 0:00,Abu Dhabi,Pakistan,South Africa,0,0,-22.42030303,-10.91533192
294,South Africa,463145,bat,272 runs,South Africa,10/22/2010 0:00,Benoni,South Africa,Zimbabwe,1,0,15.98387597,11.43816913
295,South Africa,461569,field,1 wicket,Pakistan,11/5/2010 0:00,Dubai (DSC),Pakistan,South Africa,0.333333333,0,-16.3230303,-13.91260465
